n,avg_age_comp,avg_name_comp,avg_combined_comp,avg_age_assign,avg_name_assign,avg_combined_assign
10,28.50,26.60,57.20,39.60,37.40,79.20
20,110.90,102.50,218.70,132.00,123.20,260.50
30,231.60,242.70,463.90,262.70,274.00,526.10
40,379.10,415.40,791.60,419.60,456.60,873.30
50,605.50,658.00,1202.90,657.10,709.80,1305.20
60,871.40,828.70,1730.70,932.50,890.00,1853.10
70,1227.50,1210.70,2392.90,1298.50,1281.90,2535.30
80,1541.30,1533.30,3087.20,1622.40,1614.10,3249.50
90,1938.80,1948.70,3926.20,2029.60,2039.80,4108.50
100,2402.20,2437.80,4845.60,2504.20,2539.00,5049.10
